asset_id,hostname,criticality,department
ASSET-001,server-01,critical,finance
ASSET-002,server-02,low,hr
ASSET-003,server-03,medium,engineering
ASSET-004,server-04,high,marketing
ASSET-005,server-05,medium,finance
ASSET-006,server-06,critical,sales
ASSET-007,server-07,critical,hr
ASSET-008,server-08,medium,it
ASSET-009,server-09,medium,marketing
ASSET-010,server-10,critical,legal
ASSET-011,server-11,low,it
ASSET-012,server-12,critical,sales
ASSET-013,server-13,critical,it
ASSET-014,server-14,medium,marketing
ASSET-015,server-15,medium,it
ASSET-016,server-16,high,legal
ASSET-017,server-17,critical,finance
ASSET-018,server-18,high,marketing
ASSET-019,server-19,medium,finance
ASSET-020,server-20,high,marketing
ASSET-021,server-21,critical,sales
ASSET-022,server-22,medium,sales
ASSET-023,server-23,medium,engineering
ASSET-024,server-24,medium,hr
ASSET-025,server-25,high,legal
ASSET-026,server-26,medium,legal
ASSET-027,server-27,critical,it
ASSET-028,server-28,high,it
ASSET-029,server-29,high,engineering
ASSET-030,server-30,low,sales
