event_id,timestamp,computer_name,account,process,network_connection,event_type
EDR-A00,2026-09-15T11:40:00Z,server-01,admin,powershell.exe -enc <base64>,,suspicious_process
EDR-A01,2026-09-15T11:42:00Z,server-01,admin,,198.51.100.23,suspicious_network_connection
EDR-B00,2026-09-14T02:32:00Z,server-05,admin,powershell.exe -File nightly_maintenance.ps1,,process_execution
EDR-B01,2026-09-14T02:34:00Z,server-05,admin,powershell.exe -File nightly_maintenance.ps1,,process_execution
EDR-I00,2026-09-15T04:00:00Z,server-22,dave,unknown_binary.exe,,suspicious_process
EDR-MISS00,2026-09-12T14:00:00Z,,user25,explorer.exe,,process_execution
EDR-MISS01,2026-09-12T16:00:00Z,server-30,user01,explorer.exe,,process_execution
EDR-MISS02,2026-09-12T07:00:00Z,,user11,explorer.exe,,process_execution
EDR-MISS03,2026-09-12T21:00:00Z,server-01,user04,explorer.exe,,process_execution
EDR-MISS04,2026-09-13T13:00:00Z,,svc-backup,explorer.exe,,process_execution
EDR-BAD00,invalid-date,server-23,user07,cmd.exe,,process_execution
EDR-BAD01,invalid-date,server-23,user10,cmd.exe,,process_execution
EDR-BAD02,invalid-date,server-13,user22,cmd.exe,,process_execution
EDR-N0000,2026-09-14T08:56:36.837003Z,server-29,user10,notepad.exe,10.0.6.64,process_execution
EDR-N0001,2026-09-14T05:55:38.506520Z,server-09,user05,notepad.exe,10.0.20.25,process_execution
EDR-N0002,2026-09-12T10:16:06.983771Z,server-17,user21,chrome.exe,10.0.11.175,process_execution
EDR-N0003,2026-09-12T12:58:58.751623Z,server-05,user06,notepad.exe,10.0.39.3,process_execution
EDR-N0004,2026-09-13T19:29:08.338586Z,server-02,admin,notepad.exe,10.0.2.30,process_execution
EDR-N0005,2026-09-15T02:15:11.726686Z,server-09,user21,notepad.exe,10.0.14.141,process_execution
EDR-N0006,2026-09-11T15:57:53.711604Z,server-20,user21,teams.exe,10.0.2.30,process_execution
EDR-N0007,2026-09-13T00:14:07.558021Z,server-10,user21,notepad.exe,10.0.20.25,process_execution
EDR-N0008,2026-09-13T02:02:47.838548Z,server-10,user15,teams.exe,10.0.5.72,process_execution
EDR-N0009,2026-09-12T01:21:58.937037Z,server-15,user14,outlook.exe,10.0.31.141,process_execution
EDR-N0010,2026-09-13T04:16:00.987841Z,server-20,user05,explorer.exe,10.0.21.57,process_execution
EDR-N0011,2026-09-11T04:37:18.446808Z,server-24,administrator,explorer.exe,10.0.23.131,process_execution
EDR-N0012,2026-09-10T14:57:18.376741Z,server-25,user12,outlook.exe,10.0.33.58,process_execution
EDR-N0013,2026-09-12T16:36:06.674797Z,server-08,user15,explorer.exe,10.0.8.37,process_execution
EDR-N0014,2026-09-14T03:54:12.236636Z,server-05,user04,outlook.exe,10.0.4.191,process_execution
EDR-N0015,2026-09-14T01:10:28.413853Z,server-28,user20,teams.exe,10.0.27.52,process_execution
EDR-N0016,2026-09-14T06:12:27.238875Z,server-27,user11,outlook.exe,10.0.37.209,process_execution
EDR-N0017,2026-09-11T21:27:52.518749Z,server-25,user06,outlook.exe,10.0.32.109,process_execution
EDR-N0018,2026-09-10T12:29:01.214407Z,server-16,svc-backup,teams.exe,10.0.20.25,process_execution
EDR-N0019,2026-09-13T00:18:56.042043Z,server-13,user17,chrome.exe,10.0.30.181,process_execution
EDR-N0020,2026-09-10T15:59:51.375601Z,server-19,user12,outlook.exe,10.0.4.191,process_execution
EDR-N0021,2026-09-15T05:56:06.545201Z,server-20,svc-backup,teams.exe,10.0.31.141,process_execution
EDR-N0022,2026-09-14T01:42:36.699217Z,server-28,user04,chrome.exe,10.0.28.185,process_execution
EDR-N0023,2026-09-14T19:55:40.104195Z,server-24,user12,explorer.exe,10.0.26.145,process_execution
EDR-N0024,2026-09-13T16:05:15.063712Z,server-02,user19,teams.exe,10.0.36.73,process_execution
EDR-N0025,2026-09-14T12:38:28.909585Z,server-10,user03,notepad.exe,10.0.25.8,process_execution
EDR-N0026,2026-09-12T23:29:21.611419Z,server-09,admin,notepad.exe,10.0.8.37,process_execution
EDR-N0027,2026-09-14T20:33:37.415222Z,server-13,user12,chrome.exe,10.0.22.61,process_execution
EDR-N0028,2026-09-12T17:03:36.645866Z,server-25,user05,explorer.exe,10.0.13.230,process_execution
EDR-N0029,2026-09-12T11:42:16.005098Z,server-17,user02,teams.exe,10.0.3.8,process_execution
EDR-N0030,2026-09-15T07:19:49.166582Z,server-26,user16,explorer.exe,10.0.34.116,process_execution
EDR-N0031,2026-09-13T05:09:40.942390Z,server-29,user17,notepad.exe,10.0.9.190,process_execution
EDR-N0032,2026-09-13T20:38:38.753821Z,server-11,user06,notepad.exe,10.0.26.145,process_execution
EDR-N0033,2026-09-10T13:07:34.001374Z,server-19,user11,explorer.exe,10.0.33.58,process_execution
EDR-N0034,2026-09-11T08:36:18.985266Z,server-16,user23,notepad.exe,10.0.37.209,process_execution
EDR-N0035,2026-09-14T00:01:30.476033Z,server-12,user11,chrome.exe,10.0.8.37,process_execution
EDR-N0036,2026-09-10T14:24:44.050531Z,server-10,user26,notepad.exe,10.0.2.30,process_execution
EDR-N0037,2026-09-12T12:22:15.045908Z,server-21,user26,explorer.exe,10.0.38.224,process_execution
EDR-N0038,2026-09-12T14:41:01.940987Z,server-19,user16,chrome.exe,10.0.11.175,process_execution
EDR-N0039,2026-09-12T21:05:31.632306Z,server-25,admin,notepad.exe,10.0.25.8,process_execution
EDR-N0040,2026-09-14T18:16:00.894014Z,server-02,user19,outlook.exe,10.0.8.37,process_execution
EDR-N0041,2026-09-14T13:06:21.170379Z,server-11,user14,teams.exe,10.0.10.28,process_execution
EDR-N0042,2026-09-13T10:26:41.232571Z,server-14,user17,outlook.exe,10.0.31.141,process_execution
EDR-N0043,2026-09-11T03:15:42.749750Z,server-23,user05,chrome.exe,10.0.34.116,process_execution
EDR-N0044,2026-09-14T11:07:08.383452Z,server-22,user16,explorer.exe,10.0.34.116,process_execution
EDR-N0045,2026-09-13T14:46:51.696688Z,server-15,carol,outlook.exe,10.0.35.152,process_execution
EDR-N0046,2026-09-13T18:55:14.728361Z,server-22,user25,explorer.exe,10.0.17.110,process_execution
EDR-N0047,2026-09-12T10:47:26.917406Z,server-08,user09,outlook.exe,10.0.36.73,process_execution
EDR-N0048,2026-09-14T00:10:48.362366Z,server-25,user10,explorer.exe,10.0.14.141,process_execution
EDR-N0049,2026-09-12T01:10:16.358205Z,server-11,user16,teams.exe,10.0.23.131,process_execution
EDR-N0050,2026-09-12T16:44:29.361018Z,server-10,user04,explorer.exe,10.0.37.209,process_execution
EDR-N0051,2026-09-12T02:48:19.189822Z,server-29,user13,teams.exe,10.0.23.131,process_execution
EDR-N0052,2026-09-10T17:26:48.971015Z,server-10,user02,outlook.exe,10.0.19.9,process_execution
EDR-N0053,2026-09-10T17:21:44.473963Z,server-12,carol,chrome.exe,10.0.29.168,process_execution
EDR-N0054,2026-09-12T05:17:00.074162Z,server-07,user07,teams.exe,10.0.35.152,process_execution
EDR-N0055,2026-09-14T03:27:50.664097Z,server-23,user09,notepad.exe,10.0.9.190,process_execution
EDR-N0056,2026-09-14T22:53:34.116761Z,server-08,user08,notepad.exe,10.0.4.191,process_execution
EDR-N0057,2026-09-12T03:37:11.727166Z,server-08,user21,notepad.exe,10.0.15.24,process_execution
EDR-N0058,2026-09-15T05:42:03.841845Z,server-11,user23,teams.exe,10.0.31.141,process_execution
EDR-N0059,2026-09-14T23:56:04.601136Z,server-01,user18,outlook.exe,10.0.11.175,process_execution
EDR-N0060,2026-09-13T11:10:15.980932Z,server-16,user21,teams.exe,10.0.13.230,process_execution
EDR-N0061,2026-09-11T17:17:26.422335Z,server-11,user10,explorer.exe,10.0.4.191,process_execution
EDR-N0062,2026-09-10T23:02:51.233826Z,server-21,user19,chrome.exe,10.0.15.24,process_execution
EDR-N0063,2026-09-12T19:46:54.216382Z,server-30,carol,chrome.exe,10.0.12.191,process_execution
EDR-N0064,2026-09-13T09:51:13.687670Z,server-30,carol,outlook.exe,10.0.3.8,process_execution
EDR-N0065,2026-09-10T12:20:21.781066Z,server-26,user16,teams.exe,10.0.12.191,process_execution
EDR-N0066,2026-09-10T19:36:25.022256Z,server-29,user02,explorer.exe,10.0.1.165,process_execution
EDR-N0067,2026-09-14T00:11:34.564994Z,server-04,carol,notepad.exe,10.0.22.61,process_execution
EDR-N0068,2026-09-14T01:51:09.366185Z,server-17,user16,notepad.exe,10.0.9.190,process_execution
EDR-N0069,2026-09-11T05:52:22.192934Z,server-09,user07,teams.exe,10.0.8.37,process_execution
EDR-N0070,2026-09-13T20:19:04.470169Z,server-21,user09,teams.exe,10.0.12.191,process_execution
EDR-N0071,2026-09-15T10:18:35.627493Z,server-26,user10,explorer.exe,10.0.37.209,process_execution
EDR-N0072,2026-09-12T03:04:18.707565Z,server-06,user20,outlook.exe,10.0.26.145,process_execution
EDR-N0073,2026-09-11T08:45:40.395481Z,server-11,user03,notepad.exe,10.0.26.145,process_execution
EDR-N0074,2026-09-12T03:41:21.471327Z,server-05,user16,outlook.exe,10.0.21.57,process_execution
EDR-N0075,2026-09-10T19:42:03.432815Z,server-09,user13,chrome.exe,10.0.16.153,process_execution
EDR-N0076,2026-09-13T06:23:30.254580Z,server-11,user10,explorer.exe,10.0.38.224,process_execution
EDR-N0077,2026-09-11T21:15:14.747731Z,server-09,user21,chrome.exe,10.0.24.156,process_execution
EDR-N0078,2026-09-12T00:52:03.968937Z,server-22,user04,chrome.exe,10.0.30.181,process_execution
EDR-N0079,2026-09-13T23:10:59.660254Z,server-22,user17,teams.exe,10.0.20.25,process_execution
EDR-N0080,2026-09-12T01:09:54.556955Z,server-12,user20,explorer.exe,10.0.15.24,process_execution
EDR-N0081,2026-09-14T09:42:16.444396Z,server-16,user05,outlook.exe,10.0.30.181,process_execution
