event_id,timestamp,source_ip,destination_ip,username,event_type,severity,hostname
SIEM-A00,2026-09-15T11:30:00Z,203.0.113.10,10.0.1.5,root,failed_login,high,server-01
SIEM-A01,2026-09-15T11:31:00Z,203.0.113.10,10.0.1.5,administrator,failed_login,high,server-01
SIEM-A02,2026-09-15T11:32:00Z,203.0.113.10,10.0.1.5,test,failed_login,high,server-01
SIEM-A03,2026-09-15T11:33:00Z,203.0.113.10,10.0.1.5,admin,failed_login,high,server-01
SIEM-A04,2026-09-15T11:34:00Z,203.0.113.10,10.0.1.5,sa,failed_login,high,server-01
SIEM-A05,2026-09-15T11:36:00Z,203.0.113.10,10.0.1.5,admin,successful_login,high,server-01
SIEM-A06,2026-09-15T11:38:00Z,203.0.113.10,10.0.1.5,admin,privileged_login,critical,server-01
SIEM-B00,2026-09-14T02:30:00Z,10.0.5.5,10.0.5.20,admin,successful_login,low,server-05
SIEM-C00,2026-09-15T06:00:00Z,scanner.internal,10.0.1.30,,vulnerability_scan,high,server-14
SIEM-C01,2026-09-15T06:02:00Z,scanner.internal,10.0.1.31,,vulnerability_scan,low,server-23
SIEM-C02,2026-09-15T06:04:00Z,scanner.internal,10.0.1.32,,vulnerability_scan,low,server-16
SIEM-C03,2026-09-15T06:06:00Z,scanner.internal,10.0.1.33,,vulnerability_scan,low,server-13
SIEM-C04,2026-09-15T06:08:00Z,scanner.internal,10.0.1.34,,vulnerability_scan,medium,server-16
SIEM-C05,2026-09-15T06:10:00Z,scanner.internal,10.0.1.35,,vulnerability_scan,low,server-14
SIEM-C06,2026-09-15T06:12:00Z,scanner.internal,10.0.1.36,,vulnerability_scan,high,server-12
SIEM-C07,2026-09-15T06:14:00Z,scanner.internal,10.0.1.37,,vulnerability_scan,low,server-16
SIEM-C08,2026-09-15T06:16:00Z,scanner.internal,10.0.1.38,,vulnerability_scan,medium,server-21
SIEM-C09,2026-09-15T06:18:00Z,scanner.internal,10.0.1.39,,vulnerability_scan,low,server-20
SIEM-C10,2026-09-15T06:20:00Z,scanner.internal,10.0.1.40,,vulnerability_scan,low,server-14
SIEM-C11,2026-09-15T06:22:00Z,scanner.internal,10.0.1.41,,vulnerability_scan,high,server-13
SIEM-C12,2026-09-15T06:24:00Z,scanner.internal,10.0.1.42,,vulnerability_scan,high,server-23
SIEM-C13,2026-09-15T06:26:00Z,scanner.internal,10.0.1.43,,vulnerability_scan,high,server-14
SIEM-C14,2026-09-15T06:28:00Z,scanner.internal,10.0.1.44,,vulnerability_scan,medium,server-24
SIEM-C15,2026-09-15T06:30:00Z,scanner.internal,10.0.1.45,,vulnerability_scan,medium,server-24
SIEM-C16,2026-09-15T06:32:00Z,scanner.internal,10.0.1.46,,vulnerability_scan,low,server-17
SIEM-C17,2026-09-15T06:34:00Z,scanner.internal,10.0.1.47,,vulnerability_scan,high,server-10
SIEM-D00,2026-09-15T09:00:00Z,185.220.101.7,10.0.2.1,admin,failed_login,high,server-08
SIEM-D01,2026-09-15T09:01:00Z,185.220.101.7,10.0.2.2,root,failed_login,high,server-08
