user_id,username,privilege
USER-001,user01,standard
USER-002,user02,standard
USER-003,user03,standard
USER-004,user04,standard
USER-005,user05,standard
USER-006,user06,standard
USER-007,user07,standard
USER-008,user08,standard
USER-009,user09,standard
USER-010,user10,standard
USER-011,user11,standard
USER-012,user12,standard
USER-013,user13,standard
USER-014,user14,standard
USER-015,user15,standard
USER-016,user16,standard
USER-017,user17,standard
USER-018,user18,standard
USER-019,user19,standard
USER-020,user20,standard
USER-021,user21,standard
USER-022,user22,standard
USER-023,user23,standard
USER-024,user24,standard
USER-025,user25,standard
USER-026,user26,standard
USER-027,admin,administrator
USER-028,administrator,administrator
USER-029,svc-backup,standard
USER-030,carol,standard
